,Species,Limb.Width,unitsW,Limb.Length,unitsL
1,Canis familiaris,22.55422962,cm,27.77085875,mm
2,Tyrannosaurus rex,13.82478439,mm,279.6750456,cm
3,Balaenoptera nusculus,5.918886819,mm,83.57855249,mm
4,Mus musculus,19.24361351,cm,17.99310395,cm
5,Panthera leo,5.520769517,cm,6.768535369,cm
6,Canis dingo,20.33211507,mm,26.90950469,mm
7,Loxodonta africana,18.60562259,mm,23.12491312,mm
8,Monodon monoceros,24.38416651,mm,78.69000855,mm
9,Aptenodytes forsteri,6.881677846,cm,124.2146288,cm
10,Desmodus rotundus,9.045278682,mm,46.42037623,mm
